PlayerID,TeamID,Year,age,games_played,minutes_played,PTS,AST,turnovers,FG,FT,3P,3P_Attempt,ORB,DRB,PF
abdulza01,SEA01,1971,24,61,1276,665,42,0,0.440536013,0.739361702,0,188,0,0,118
abdulka01,MIL01,1971,23,82,3288,2596,272,0,0.576776994,0.690161527,0,681,0,0,264
adamsdo01,,1971,23,82,2374,937,173,0,0.408568443,0.731132075,0,212,0,0,344
adelmri01,POR01,1971,24,81,2303,1023,380,0,0.422346369,0.723577236,0,369,0,0,214
allenlu01,MIL01,1971,23,61,1162,433,161,0,0.447236181,0.7,0,110,0,0,108
andercl01,CLE01,1971,26,23,171,79,16,0,0.322033898,0.683333333,0,60,0,0,22
andercl01,PHI01,1971,26,5,27,7,4,0,0.166666667,0.714285714,0,7,0,0,7
architi01,,1971,22,82,2867,1308,450,0,0.443835616,0.756756757,0,444,0,0,218
arnzebo01,,1971,23,55,594,301,24,0,0.462093863,0.865384615,0,52,0,0,54
attleal01,,1971,34,34,321,68,58,0,0.407407407,0.585365854,0,41,0,0,59
awtrede01,PHI01,1971,22,70,1292,504,89,0,0.475059382,0.662420382,0,157,0,0,211
barneji01,,1971,29,11,100,37,8,0,0.535714286,0.636363636,0,11,0,0,23
barnedi01,NEW02,1971,34,82,2843,1273,225,0,0.456081081,0.694244604,0,278,0,0,232
barneji02,POR01,1971,26,78,2371,1444,323,0,0.435697584,0.810945274,0,402,0,0,190
barrmo01,,1971,26,31,145,61,28,0,0.403225806,0.846153846,0,13,0,0,27
baumjo01,CHI01,1971,24,62,543,286,31,0,0.419795222,0.689655172,0,58,0,0,55
bayloel01,LOS02,1971,36,2,57,20,2,0,0.421052632,0.666666667,0,6,0,0,6
bellawa01,ATL01,1971,31,82,2908,1202,230,0,0.492605233,0.604316547,0,556,0,0,271
bingda01,DET01,1971,27,82,3065,2213,408,0,0.467251462,0.796632124,0,772,0,0,228
blackto01,SEA01,1971,29,55,773,273,42,0,0.414179104,0.698630137,0,73,0,0,116
blackto01,,1971,29,16,100,26,2,0,0.303030303,0.4,0,15,0,0,20
blockjo01,,1971,26,73,1464,702,98,0,0.419520548,0.785185185,0,270,0,0,193
boerwto01,CHI01,1971,25,82,2370,882,397,0,0.485054348,0.724137931,0,232,0,0,275
boozebo01,MIL01,1971,33,80,1775,728,128,0,0.449612403,0.817679558,0,181,0,0,216
bowmana01,"""",1971,27,44,483,136,41,0,0.391891892,0.526315789,0,38,0,0,91
bradlbi01,NEW02,1971,27,78,2300,970,280,0,0.452850877,0.822857143,0,175,0,0,245
bridgbi01,ATL01,1971,31,82,3140,975,240,0,0.458033573,0.639393939,0,330,0,0,317
bryanem01,,1971,32,73,2137,727,352,0,0.421052632,0.743842365,0,203,0,0,266
